file_name,model_name,description,execution_time,cost
toy_01.jpeg,gemini-2.5-flash-preview,"A doll with tousled blonde curly hair and striking blue eyes lies on a light blue or grey textured surface. The doll is wearing a reddish-brown, textured outfit and is positioned with its head towards the upper left of the frame, looking up. The image captures the doll from a slightly overhead perspective, highlighting its features against the soft background.",5.87,0.0011
toy_01.jpeg,gemini-2.0-flash,"A doll with blonde, curly hair and blue eyes lies on a light blue couch. The doll is dressed in a reddish-brown, corduroy romper. It is positioned at an angle, taking up much of the frame.",3.09,0.0008
toy_01.jpeg,gpt-4o-vision,"The image shows a doll with voluminous, curly blonde hair, dressed in a rust-colored outfit. The doll is seated on a light gray fabric surface, and its bright blue eyes are prominently visible. The setting appears to be indoors with natural light illuminating the scene.",8.78,0.0048
toy_01.jpeg,blip,Caption: a doll laying on a couch with her hands in the air,4.23,0.0046
toy_01.jpeg,blip-2,a doll sitting on a couch,3.16,0.0060
toy_01.jpeg,llava-1.5-7b,A brown haired doll is sitting on a couch. The doll is wearing a red dress and has a brown shirt. The doll's hair is curly and long.,6.47,0.0050
drawing_04.jpeg,gemini-2.5-flash-preview,"This vibrant artwork is a child's painting of a friendly, purple monster creature. It features a round body adorned with darker purple spots, including a large central one, and a head with wide, expressive eyes and small ears. The creature stands amidst green plant life against a blended blue and green background, conveying a whimsical, imaginative scene.",5.40,0.0010
drawing_04.jpeg,gemini-2.0-flash,"The image features a child's watercolor painting of a fantastical creature. The purple and lavender character has a somewhat surprised expression, with large, round eyes and a small, downward-turned mouth. Green plant-like forms surround the creature against a blue-green background, suggesting an outdoor setting.",2.03,0.0009
drawing_04.jpeg,gpt-4o-vision,"The image depicts a whimsical creature painted in shades of purple and blue with large, expressive eyes and a surprised expression. It features spots on its body and horns on its head, set against a background of light green and blue with hints of vegetation. The artwork has a playful, cartoon-like style, conveying a sense of wonder and curiosity.",5.08,0.0050
drawing_04.jpeg,blip,Caption: a drawing of a purple and white monster on a piece of paper,5.89,0.0046
drawing_04.jpeg,blip-2,a drawing of a cartoon character,2.32,0.0060
drawing_04.jpeg,llava-1.5-7b,"The image features a purple monster with a big belly, standing in a grassy area. The monster has a surprised expression on its face, with its mouth open. The drawing is done in a colorful style, with the monster's body and the surrounding grass being the main focus.",4.42,0.0050
drawing_05.jpeg,gemini-2.5-flash-preview,"This colorful child's drawing on white paper depicts a whimsical, unicorn-like creature. It features a yellow scribbled body, black oval eyes, a small red heart for a mouth, and a bold blue outline. A vibrant rainbow horn, alongside yellow and purple ear-like appendages, completes its head, with a decorative circular sticker present in the upper right corner.",7.14,0.0011
drawing_05.jpeg,gemini-2.0-flash,"The image is a child's crayon drawing of an animal, likely a unicorn or horse. It features a yellow head with two black eyes and a red nose, a blue mane, and a multicolored horn. A round sticker is positioned in the upper right corner of the white paper.",1.81,0.0009
drawing_05.jpeg,gpt-4o-vision,"The image is a colorful children's drawing of a bear-like creature with a unicorn horn and ears, outlined in blue and yellow. It has large, black eyes and a small red heart as its nose. In the top left corner, there is a sticker with a colorful circular design.",5.03,0.0048
drawing_05.jpeg,blip,Caption: a child's drawing of a fish on a piece of paper,4.36,0.0046
drawing_05.jpeg,blip-2,a child's drawing of a unicorn,2.68,0.0060
drawing_05.jpeg,llava-1.5-7b,"A drawing of a bunny with a rainbow tail is on a piece of paper. The bunny has a blue and yellow face, and it is wearing a rainbow hat. The drawing is done in a child's hand, giving it a playful and creative appearance.",4.20,0.0050
drawing_02.jpeg,gemini-2.5-flash-preview,"This charming painting depicts a gray teddy bear with white accents on its ears, snout, and paws, and simple black eyes and mouth. The bear stands against a vibrant, textured blue background. A blue handprint is visible in the lower right corner, suggesting this is a child's creative artwork.",2.74,0.0010
drawing_02.jpeg,gemini-2.0-flash,"The image shows a child's painting of a gray teddy bear against a blue background. The bear has large eyes, a simple nose and mouth, and white details on its ears, hands, and feet.  A blue handprint is visible in the lower right corner of the painted background.
",2.12,0.0009
drawing_02.jpeg,gpt-4o-vision,"The image is a painting of a grey teddy bear with a white snout and black eyes and nose, set against a textured blue background. The bear appears fuzzy with soft outlines, and there is a handprint in the bottom right corner, adding a personalized touch. The brushstrokes and use of color give the painting a playful and whimsical feel.",4.47,0.0050
drawing_02.jpeg,blip,Caption: a drawing of a bear on a piece of paper,2.21,0.0046
drawing_02.jpeg,blip-2,a teddy bear,2.01,0.0060
drawing_02.jpeg,llava-1.5-7b,"A painting of a teddy bear is displayed on a white background. The teddy bear is wearing a black shirt and has a sad expression on its face. The painting is done in a watercolor style, giving it a unique and artistic appearance.",3.23,0.0050
toy_07.jpeg,gemini-2.5-flash-preview,"The image displays a colorful LEGO Duplo playset constructed on a large green baseplate, viewed from above and oriented vertically. The scene features various animal figures, including an elephant carrying a lamb, a pig, a panda, and a duck. Built structures such as a brown tree with pink flowers, a small red house, and curved green and blue landscape elements complete this imaginative and vibrant play environment.",6.52,0.0012
toy_07.jpeg,gemini-2.0-flash,The image shows a green Lego baseplate with a variety of Lego and Duplo blocks attached to it. There are animals and a building with a panda positioned to look like it is emerging from the door on the plate. The background consists of light blue and gray walls.,3.58,0.0008
toy_07.jpeg,gpt-4o-vision,"The image shows a LEGO Duplo playset arranged to create a small zoo or animal habitat. It features various animals such as an elephant, a panda, a bird, and a sheep, as well as colorful bricks forming a tree, grassy areas, and a small house. This playful scene is set on a green baseplate inside a shelf or display case.",8.46,0.0051
toy_07.jpeg,blip,Caption: a room with legos on the wall and toys on the floor,3.99,0.0046
toy_07.jpeg,blip-2,a lego set in a room,5.08,0.0060
toy_07.jpeg,llava-1.5-7b,"The image features a display of various Lego toys, including a polar bear, a dog, and a cat. The toys are arranged on a green surface, possibly a carpet, and are positioned in a way that creates a playful scene.",4.97,0.0050
toy_06.jpeg,gemini-2.5-flash-preview,"A charming plush mouse toy, wearing a coral-pink dress, rests centrally on soft, textured bedding. The bedding showcases various patterns, including light green and blue floral prints, a plain light-colored pillow, and a distinct olive-green knitted texture, with a black comb visible in the background.",6.08,0.0009
toy_06.jpeg,gemini-2.0-flash,"The image shows a toy mouse wearing a pink dress, lying among pillows with floral patterns and a green knitted object. The mouse has light pink ears and a brown nose, positioned on a white fabric with green butterflies. A small black comb can be seen in the background.",2.81,0.0009
toy_06.jpeg,gpt-4o-vision,"The image features a small, cute fabric mouse toy wearing a pink dress, resting among a collection of pillows. The pillows have various patterns, including floral and butterfly designs in shades of green and blue. A knitted item and a black comb are also visible, adding texture and contrast to the scene.",8.15,0.0049
toy_06.jpeg,blip,Caption: a stuffed animal laying on top of a bed next to pillows,7.08,0.0046
toy_06.jpeg,blip-2,a stuffed animal,3.44,0.0060
toy_06.jpeg,llava-1.5-7b,"The image features a pink stuffed animal, possibly a mouse or a teddy bear, sitting on a bed. The bed is covered with a floral print blanket, and there is a pillow nearby. The stuffed animal is wearing a dress, adding a touch of charm to the scene.",7.75,0.0050
toy_10.jpeg,gemini-2.5-flash-preview,"This image offers a close-up, top-down view inside a dollhouse, showcasing a miniature bathroom scene. It features a peach-colored vanity with a mirror and sink, a white clawfoot bathtub, and a small mouse-like doll. Various tiny accessories, including a patterned rug, a black comb, and a light blue book with gold stars, complete this charming display.",4.44,0.0011
toy_10.jpeg,gemini-2.0-flash,"This image showcases the interior of a dollhouse bathroom. The room is furnished with miniature fixtures including a tub, vanity with a mirror and sink, and a striped rug. A small doll and other accessories are also arranged within the space.",2.55,0.0007
