file_name,model_name,description,execution_time,cost
toy_01.jpeg,gemini-2.5-flash-preview,"An overhead shot features a doll with tangled blonde curls and striking blue eyes, lying on a pale blue-grey sofa. The doll is dressed in a textured, rust-colored jumpsuit, with its limbs slightly bent. Its gaze appears directed upwards, captured from this high-angle perspective.",6.44,0.0009
toy_01.jpeg,gemini-2.0-flash,"A doll with blue eyes and voluminous blonde hair is lying on a light blue surface. She is wearing a maroon corduroy jumpsuit. The doll's body is slightly angled, her eyes facing the viewer.",3.05,0.0007
toy_01.jpeg,gpt-4o-vision,"The image features a doll sitting on a light-colored sofa. The doll has curly blond hair and is dressed in a burgundy outfit. The background is softly lit, highlighting the doll's blue eyes and giving the scene a gentle feel.",5.02,0.0047
toy_01.jpeg,pixtral-12b-2409,"The image shows a doll with curly blonde hair and blue eyes, dressed in a maroon outfit. The doll is lying on its back on a light blue surface, with its arms and legs spread out. The doll's facial expression appears neutral, and its hair is styled in loose curls.",2.90,0.0009
toy_01.jpeg,pixtral-large-latest,"The image shows a doll with curly blonde hair and blue eyes, lying on a light blue couch. The doll is dressed in a maroon outfit with ruffled sleeves and legs. The doll's arms are extended, and it appears to be in a relaxed position.",3.44,0.0009
toy_01.jpeg,mistral-medium-latest,"The image shows a doll with blonde curly hair lying on a light blue couch. The doll is dressed in a maroon, ribbed fabric outfit that includes a top and pants. Its arms and legs are slightly bent, and it has a soft, realistic facial expression with blue eyes and rosy cheeks.",17.08,0.0009
toy_01.jpeg,mistral-small-latest,"The image shows a doll with blonde, curly hair lying on a light gray couch. The doll is dressed in a maroon, long-sleeved onesie and appears to be posed in a relaxed position, with its arms and legs slightly bent.",3.30,0.0009
toy_01.jpeg,blip,Caption: a doll laying on a couch with her hands in the air,4.33,0.0046
toy_01.jpeg,blip-2,a doll sitting on a couch,4.16,0.0060
toy_01.jpeg,llava-1.5-7b,"A doll with blonde hair is sitting on a couch. The doll is wearing a red dress and has a brown shirt. It is positioned on the couch, with its legs crossed.",17.79,0.0050
drawing_04.jpeg,gemini-2.5-flash-preview,"This is a child's watercolor painting of a large, purple, monster-like character. The creature has big, round eyes, a dark nose or mouth, and darker purple paw print shapes on its body. It stands against a background split between light blue and green, with simple green plant shapes framing it on either side.",2.42,0.0010
drawing_04.jpeg,gemini-2.0-flash,"The image is a colorful watercolor painting of a purple, cartoon-like creature with large, worried eyes. It has spots on its body and stands against a light blue and green background with simple plant-like shapes. The art style is childlike, with loose brushstrokes and simplified forms.
",1.60,0.0009
drawing_04.jpeg,gpt-4o-vision,"The image is a colorful painting of a cartoon-like creature with purple spots and large eyes, set against a background of light blue and green. The character appears surprised, featuring expressive eyebrows and an open mouth. The artwork has a whimsical and playful feel.",4.30,0.0047
drawing_04.jpeg,pixtral-12b-2409,"The image depicts a child's drawing of a cow. The cow is primarily colored in white with purple spots and has large, expressive eyes. The background features green grass and a light blue sky, adding a simple yet charming backdrop to the artwork.",1.84,0.0009
drawing_04.jpeg,pixtral-large-latest,"The image depicts a whimsical, cartoonish cow painted in shades of purple and white. The cow has large, expressive eyes, a small nose, and a collar around its neck. The background features green grass and a light blue sky, adding to the playful and cheerful atmosphere of the artwork. The painting appears to be done with watercolors, giving it a soft and vibrant look.",2.56,0.0010
drawing_04.jpeg,mistral-medium-latest,"The image depicts a whimsical, childlike drawing of a character with a large, round body and a small, surprised face. The character has purple spots on its body, purple antenna-like structures on its head, and is standing on a green, plant-like background. The drawing uses simple shapes and bold colors, giving it a playful and imaginative appearance.",2.50,0.0010
drawing_04.jpeg,mistral-small-latest,"The image depicts a whimsical drawing of a creature with a round body, large eyes, and antennae. It is painted with watercolors in shades of purple, green, and gray, featuring a playful and imaginative style. The background includes green leaf-like shapes, adding to the vibrant and childlike aesthetic.",1.77,0.0009
drawing_04.jpeg,blip,Caption: a drawing of a purple and white monster on a piece of paper,1.93,0.0046
drawing_04.jpeg,blip-2,a drawing of a cartoon character,1.99,0.0060
drawing_04.jpeg,llava-1.5-7b,"The image features a purple monster with a big belly, standing on a green field. The monster has a surprised expression on its face, with its mouth open. The monster's eyes are large and round, adding to its unique appearance.",10.82,0.0050
drawing_05.jpeg,gemini-2.5-flash-preview,"This image displays a child's vibrant drawing of a fantastical creature, possibly a unicorn, on white paper. The creature features a yellow body, a flowing blue outline or mane, two black eyes, a small red mouth, and a colorful rainbow horn. In the upper right corner, an abstract, multi-colored circular sticker adds another decorative element to the artwork.",4.65,0.0011
drawing_05.jpeg,gemini-2.0-flash,"This child's drawing features a cartoon-like creature with yellow scribbled fur and a blue outline. The animal has large, black eyes, a red nose, and colorful details like a rainbow horn and purple ears. A sticker resembling a colorful ball is located in the top right corner.",1.74,0.0009
drawing_05.jpeg,gpt-4o-vision,"The image is a colorful child’s drawing of a creature with a round face, large eyes, and a small red heart-shaped nose. It has a rainbow and blue-striped horn, with ears outlined in blue and filled in with yellow and purple. There is also a circular sticker in the corner with rainbow and black patterns on a yellow background.",6.14,0.0050
drawing_05.jpeg,pixtral-12b-2409,"The image features a child's drawing on a piece of paper. The artwork includes a large blue and black squiggly line forming the outline of a face with two black eyes and a small red heart below them. There is also a colorful, abstract shape in the upper right corner and some additional scribbles around the face.",1.81,0.0010
drawing_05.jpeg,pixtral-large-latest,"The image depicts a colorful, abstract drawing on a white background. It features a large, curved shape with a blue outline and black eyes, resembling a fish or a whale. There is a small red heart near the center, and a multicolored circular design in the top right corner. The drawing includes various scribbles and lines in yellow and other colors, adding to its playful and imaginative style.",2.17,0.0010
drawing_05.jpeg,mistral-medium-latest,"The image depicts a whimsical drawing of a fish with a large, open mouth and a colorful, patterned design on its body. The fish has a blue outline and yellow details, with a small red heart and a hook inside its mouth. Above the fish, there is a circular shape with a colorful, abstract pattern. The drawing appears to be done on a piece of paper with a slightly crumpled texture.",3.01,0.0011
drawing_05.jpeg,mistral-small-latest,"The image depicts a colorful drawing of a fish, likely created by a child. The fish is drawn with blue outlines and has yellow scribbles in the background. It features a rainbow tail and a small red heart near its mouth. There is also a circular emblem with a rainbow design in the top right corner.",1.84,0.0009
drawing_05.jpeg,blip,Caption: a child's drawing of a fish on a piece of paper,2.26,0.0046
drawing_05.jpeg,blip-2,a child's drawing of a unicorn,2.59,0.0060
drawing_05.jpeg,llava-1.5-7b,"The image features a colorful drawing of a rabbit with a blue and purple tail. The rabbit has a rainbow on its head, and it appears to be a hand-drawn illustration. The rabbit is the main focus of the image, and its vibrant colors make it stand out.",4.18,0.0050
drawing_02.jpeg,gemini-2.5-flash-preview,"This image features a charming, possibly childlike, painting of a grey teddy bear with white ears, snout, and paws. The bear stands centrally against a textured blue background, rendered with visible brushstrokes. A faint blue handprint in the bottom right corner adds a personal touch, suggesting it may be a piece of children's art.",2.56,0.0011
drawing_02.jpeg,gemini-2.0-flash,"The image is a child's painting of a gray teddy bear against a blue background. The bear has white ears, paws, and a snout, with simple black eyes and nose. A blue handprint is visible in the lower right corner of the painting.
",1.82,0.0008
drawing_02.jpeg,gpt-4o-vision,"This image is a whimsical painting of a gray bear set against a textured blue background. The bear, with its simple yet expressive black eyes and a small nose, has an endearing and playful appearance. The background features artistic touches of handprints and variations in blue, adding to the painting's charm.",4.59,0.0049
drawing_02.jpeg,pixtral-12b-2409,"The image features a painting of a gray teddy bear with white accents on its face, paws, and feet. The background is a light blue with a textured, splattered effect. The painting is displayed on a larger sheet of paper, with some visible tools and objects around it, suggesting it might be a work in progress or part of an art project.",1.77,0.0010
drawing_02.jpeg,pixtral-large-latest,"The image depicts a hand-painted illustration of a teddy bear on a blue background. The teddy bear is primarily gray with white accents on its ears, face, and feet. The background features a textured blue paint with faint handprints visible at the bottom, adding a personal touch to the artwork.",2.16,0.0009
drawing_02.jpeg,mistral-medium-latest,"The image depicts a simple, hand-painted picture of a teddy bear. The bear is primarily gray with white accents on its face, ears, and paws, and it stands against a blue background. The painting appears to be done by a child, as evidenced by the uneven paint application and the presence of handprints in the lower right corner.",2.93,0.0010
drawing_02.jpeg,mistral-small-latest,"The image depicts a child's painting of a gray teddy bear on a blue background. The bear has a simple, rounded face with black eyes and a black nose, and the background features various blue handprints and brush strokes. The artwork appears to be created with acrylic paints.",2.22,0.0009
drawing_02.jpeg,blip,Caption: a drawing of a bear on a piece of paper,2.69,0.0046
drawing_02.jpeg,blip-2,a teddy bear,1.22,0.0060
drawing_02.jpeg,llava-1.5-7b,"A gray teddy bear is painted on a blue background, with a handprint visible in the lower right corner. The teddy bear is positioned in the center of the image, and its face is painted with black eyes and a black nose.",4.00,0.0050
toy_07.jpeg,gemini-2.5-flash-preview,"This image captures a vibrant play scene made from Lego Duplo bricks, set on a large green baseplate. Various animal figures are present, including a gray elephant, a white sheep, a black and white panda, a pink pig, and a duck. Structures like a brown tree with pink flowers and a small red house are also built, creating a detailed and engaging miniature world.",6.03,0.0011
