file_name,model_name,description,execution_time,cost
toy_01.jpeg,gemini-2.5-flash-preview,"This image presents a top-down view of a baby doll with striking blue eyes and voluminous, messy blonde curly hair. The doll is dressed in a textured, rust-colored romper, lying relaxed on a soft, light-grey or pale-blue fabric surface, likely a sofa. Its upward gaze creates a direct and engaging connection with the viewer.",6.85,0.0010
toy_01.jpeg,gemini-2.0-flash,"From an overhead perspective, a baby doll reclines on a light blue textured surface. The doll has light skin, blue eyes, and a large head of blonde, curly hair. It is wearing a maroon-colored corduroy romper, and its arms and legs are outstretched on the blue material.",3.26,0.0010
toy_01.jpeg,gpt-4o-vision,"The image features a doll with curly, blonde hair and blue eyes, sitting on a light gray fabric surface. The doll is dressed in a rust-colored outfit with matching top and pants. Its bright, expressive features and casual pose give it a lifelike appearance, blending with the soft, neutral background.",6.25,0.0049
toy_01.jpeg,pixtral-12b-2409,"The image shows a doll with curly blonde hair and blue eyes, dressed in a maroon outfit. The doll is lying on its back on a light blue surface, with its arms and legs spread out. The doll's facial expression appears neutral, and its hair is styled in loose curls.",3.26,0.0009
toy_01.jpeg,pixtral-large-latest,"The image shows a doll with curly blonde hair and blue eyes, dressed in a maroon outfit. The doll is lying on a light blue surface, possibly a couch or cushion, with its arms and legs slightly raised. The doll's expression appears neutral, and the overall setting is simple and clean.",49.25,0.0009
toy_01.jpeg,mistral-medium-latest,"The image shows a doll with blonde curly hair lying on a light blue couch. The doll is dressed in a maroon, ribbed fabric outfit that includes a top and pants. Its arms and legs are slightly bent, and it has a serene expression on its face.",5.08,0.0009
toy_01.jpeg,mistral-small-latest,"The image shows a doll with blonde, curly hair lying on a light gray couch. The doll is dressed in a maroon, long-sleeved onesie and appears to be posed in a relaxed position, with its arms and legs slightly spread out.",3.66,0.0009
toy_01.jpeg,blip,Caption: a doll laying on a couch with her hands in the air,4.39,0.0046
toy_01.jpeg,blip-2,a doll sitting on a couch,4.07,0.0060
toy_01.jpeg,llava-1.5-7b,A brown-haired doll with blue eyes is sitting on a couch. The doll is wearing a red dress and appears to be a child's toy.,5.18,0.0050
drawing_04.jpeg,gemini-2.5-flash-preview,"This charming watercolor painting features a whimsical purple monster with a round body and a surprised expression. The creature has large, dark eyes and several darker purple spots, including a prominent paw-print-like shape on its belly. It stands in a simple landscape, rendered with light blue in the upper half and green in the lower half, adorned with sparse green plant stalks.",4.82,0.0011
drawing_04.jpeg,gemini-2.0-flash,"The image shows a child's watercolor painting of a purple, cow-like creature with large, expressive eyes and a slightly worried expression. The character is surrounded by green, plant-like shapes against a blue and green background. The art style is simple and endearing, capturing a playful and imaginative spirit.",2.12,0.0009
drawing_04.jpeg,gpt-4o-vision,"This image depicts a colorful, whimsical creature with a round body, painted in shades of purple and lavender with large eyes. It stands against a pastel green and blue background, decorated with simple green plant-like shapes. The creature has stubby limbs and a curious expression, conveying a playful and imaginative style.",4.55,0.0049
drawing_04.jpeg,pixtral-12b-2409,"The image depicts a child's drawing of a cow. The cow is primarily colored in white with purple spots and has large, expressive eyes. The background features green grass and a light blue sky, adding a simple yet charming backdrop to the artwork.",1.62,0.0009
drawing_04.jpeg,pixtral-large-latest,"The image depicts a whimsical, cartoon-style drawing of a purple cow with large, expressive eyes and a playful demeanor. The cow has a round body with spots and is standing on a green, grassy background with some plants. The artwork appears to be hand-painted, showcasing a childlike and imaginative style.",4.85,0.0009
